book_id,user_id,rating
2767052,3672777,4
2767052,29005117,5
2767052,4048678,5
2767052,71848701,4
2767052,4527753,5
2767052,2857113,5
2767052,38077205,5
2767052,22106879,4
2767052,2296903,1
2767052,133546057,4
2767052,3030788,5
2767052,1199525,2
2767052,124132123,5
2767052,146804308,4
2767052,4622890,4
2767052,1302775,5
2767052,6431467,5
2767052,59201076,4
2767052,26144369,5
2767052,395578,5
2767052,10171516,5
2767052,2941288,5
2767052,23388825,5
2767052,34369915,4
2767052,61222,4
2767052,52545435,5
2767052,221050,5
2767052,1526851,4
2767052,139137331,5
2767052,6361703,2
2767052,106941014,5
2767052,6853965,4
2767052,65321843,5
2767052,4224396,5
2767052,1246837,5
2767052,45618,5
2767052,7878381,3
2767052,138108542,5
2767052,3099666,5
2767052,53701594,4
2767052,41788524,5
2767052,3920693,1
2767052,27788046,1
2767052,69838582,5
2767052,151334777,4
2767052,14002983,5
2767052,4605519,5
2767052,2250020,5
2767052,15335689,5
2767052,155958761,4
2767052,121526985,4
2767052,32879029,4
2767052,7365405,5
2767052,4674014,5
2767052,19894254,5
2767052,43342511,3
2767052,80959852,5
2767052,75831724,4
2767052,4593541,1
2767052,180071670,5
2767052,20658145,5
2767052,14006100,5
2767052,131922,4
2767052,136709178,4
2767052,128606316,4
2767052,134258327,5
2767052,23302801,5
2767052,20954985,5
2767052,405390,4
2767052,112110770,4
2767052,125774966,5
2767052,73003854,5
2767052,29526581,5
2767052,106675807,4
2767052,16219087,4
2767052,542037,5
2767052,4901961,3
2767052,154946604,5
2767052,140957517,4
2767052,130955903,5
2767052,3270188,5
2767052,128191325,4
2767052,109681904,5
2767052,119958241,5
2767052,2744708,5
2767052,161409207,5
2767052,44487975,5
2767052,69603149,4
2767052,14514998,5
2767052,43850323,3
2767052,666892,4
2767052,25183684,5
2767052,29923106,5
2767052,177882327,5
2767052,25258261,5
2767052,48328025,5
2767052,45909717,5
2767052,173159451,5
2767052,17438949,4
2767052,6688207,4
2767052,111921,4
2767052,74388656,4
2767052,47408323,4
2767052,5749698,1
2767052,870755,4
2767052,5253785,4
2767052,159527730,3
2767052,48902277,4
2767052,23173697,5
2767052,101358081,5
2767052,63666087,5
2767052,1876075,5
2767052,14457130,4
2767052,61624004,5
2767052,1451591,5
2767052,22371819,5
2767052,23837960,5
2767052,1036893,4
2767052,48483884,4
2767052,50946104,5
2767052,160774409,5
2767052,7013001,5
2767052,1452829,5
2767052,2040005,4
2767052,36234199,5
2767052,1022982,3
2767052,51664350,5
2767052,43584061,4
2767052,7407364,4
2767052,74181354,5
2767052,16254355,4
2767052,157019091,5
2767052,51989964,5
2767052,151042854,5
2767052,3145526,2
2767052,31461418,5
2767052,44125660,5
2767052,70951605,4
2767052,11284813,5
2767052,62761616,5
2767052,92667123,5
2767052,124320101,5
2767052,39913560,5
2767052,158726375,4
2767052,28198445,5
2767052,23587055,5
2767052,109402444,5
2767052,170100248,5
2767052,13555222,5
2767052,63168028,5
2767052,187245313,3
2767052,5691412,5
2767052,155866964,5
2767052,33012562,5
2767052,193310,3
2767052,5304380,5
2767052,45941923,4
2767052,3978225,3
2767052,40792319,4
2767052,170647562,5
2767052,142743309,4
2767052,150802981,5
2767052,1742824,3
2767052,1170391,5
2767052,161125490,4
2767052,5009669,4
2767052,170521640,5
2767052,4342402,5
2767052,19738227,5
2767052,416888,4
2767052,73792866,5
2767052,42780417,5
2767052,120178606,5
2767052,4322616,5
2767052,95396512,5
2767052,145308249,5
2767052,1036930,4
2767052,43073965,3
2767052,25327841,5
2767052,21493936,4
2767052,149015270,5
2767052,45198798,4
2767052,54624224,5
2767052,159416728,5
2767052,26681101,3
2767052,28935449,5
2767052,29931457,2
2767052,39589830,4
2767052,103342135,5
2767052,86598133,4
2767052,159330389,5
2767052,7154927,5
2767052,32532774,3
2767052,11626803,5
2767052,164016209,5
2767052,173291467,5
2767052,17156965,5
2767052,2969647,2
2767052,54835325,5
2767052,35391948,5
2767052,77949491,5
2767052,182352191,5
2767052,53694260,5
2767052,109701234,5
2767052,48372551,5
2767052,73227612,3
2767052,2231715,1
2767052,112160688,4
2767052,142278560,4
2767052,9429655,5
2767052,168804629,5
2767052,38883518,4
2767052,2467655,5
2767052,1805180,3
2767052,45136398,4
2767052,13580569,3
2767052,20408288,3
2767052,5591031,5
2767052,7372543,5
2767052,8652150,5
2767052,85999134,5
2767052,287915,2
2767052,8759700,5
2767052,3254923,3
2767052,58882300,3
2767052,10519601,4
2767052,153753257,5
2767052,83743787,4
2767052,91622714,5
2767052,2922102,4
2767052,130948938,4
2767052,5008212,3
2767052,164509151,4
2767052,159860405,5
2767052,1720620,4
2767052,58629534,5
2767052,33567746,5
2767052,137327430,5
2767052,7355135,3
2767052,3073544,4
2767052,159007189,5
2767052,2095173,5
2767052,48101840,4
2767052,39841914,5
2767052,28636277,5
2767052,1811095,5
2767052,128380926,4
2767052,89685791,4
2767052,64390738,5
2767052,112681109,5
2767052,2745288,5
2767052,50405799,4
2767052,181335769,4
2767052,151101867,5
2767052,5663034,5
2767052,64318901,5
2767052,33812934,5
2767052,50901004,5
2767052,171356975,5
2767052,87068508,5
2767052,2752994,3
2767052,5092518,4
2767052,128854465,5
2767052,152412200,5
2767052,1343864,5
2767052,73920918,5
2767052,82987361,4
2767052,93439193,5
2767052,2813423,5
2767052,70522717,2
2767052,111513919,4
2767052,1591538,5
2767052,142435229,5
2767052,6603759,5
2767052,7695806,5
2767052,149343317,5
2767052,118410349,4
2767052,169798388,4
2767052,36434323,4
2767052,4642710,5
2767052,51319474,5
2767052,5160409,5
2767052,7126530,5
2767052,43438271,4
2767052,114403039,5
2767052,184093640,5
2767052,8422853,5
2767052,173107733,5
2767052,119651438,4
2767052,101179363,5
2767052,5855981,5
2767052,122633381,5
2767052,129393306,4
2767052,4268487,3
2767052,88732814,4
2767052,16628840,5
2767052,1413439,5
2767052,31254457,5
2767052,29599654,5
2767052,137245229,5
2767052,4222084,5
2767052,138495368,4
2767052,12277740,4
2767052,32352828,2
2767052,4171908,5
2767052,55972693,5
2767052,1059653,1
2767052,148028564,4
2767052,1884487,4
2767052,70918128,5
2767052,139998820,5
2767052,175076399,5
2767052,3641370,4
2767052,102683809,4
2767052,158309030,5
2767052,57236678,4
2767052,68558865,5
2767052,149694522,4
2767052,44824883,4
2767052,154388344,4
2767052,5210022,5
2767052,89896060,5
2767052,6313408,4
2767052,14377655,5
2767052,131466786,5
2767052,50620706,5
2767052,18383542,5
2767052,7463065,4
2767052,68097818,5
2767052,75370355,5
2767052,162170936,5
2767052,159553580,5
2767052,3699303,5
2767052,1169488,5
2767052,2187043,4
2767052,30248594,5
2767052,138680614,5
2767052,175723400,5
2767052,93458186,4
2767052,33510193,5
2767052,170527107,4
2767052,128175906,5
2767052,187960468,5
2767052,1570669,5
2767052,18231342,5
2767052,21530568,5
2767052,133837180,3
2767052,289556,5
2767052,91408967,1
2767052,154054288,5
2767052,61971658,5
2767052,12406151,5
2767052,45234277,5
2767052,178007433,5
2767052,24690170,4
2767052,167244909,4
2767052,3926982,4
2767052,42508,5
2767052,76388480,5
2767052,165817905,5
2767052,147567392,5
2767052,11027889,5
2767052,372001,5
2767052,24044237,5
2767052,67389898,5
2767052,91584408,5
2767052,143026719,5
2767052,161661704,4
2767052,29390149,4
2767052,97599153,5
2767052,120279241,4
2767052,147789230,4
2767052,26439378,3
2767052,3172251,5
2767052,597461,5
2767052,17290119,5
2767052,68404236,5
2767052,35134713,4
2767052,7091879,5
2767052,10961933,5
2767052,60866073,4
2767052,72438226,5
2767052,2079470,5
2767052,106384590,3
2767052,16408954,5
2767052,3974260,4
2767052,9042258,5
2767052,160615520,5
2767052,9444787,5
2767052,119303875,5
2767052,5858203,5
2767052,95937457,5
2767052,20998236,5
2767052,27179072,5
2767052,66222749,4
2767052,37019814,4
2767052,165546717,3
2767052,903390,5
2767052,4013351,5
2767052,17989838,5
2767052,70652463,5
